year,stage,home_team,away_team,home_score,away_score,outcome,winning_team,date
1958,Quarterfinals,Sweden,Soviet Union,2,0,H,Sweden,1958-06-19
1958,Semifinals,Brazil,France,5,2,H,Brazil,1958-06-24
1958,Semifinals,Sweden,West Germany,3,1,H,Sweden,1958-06-24
1958,Third place,France,West Germany,6,3,H,France,1958-06-28
1958,Final,Sweden,Brazil,2,5,A,Brazil,1958-06-29
1962,Group 4,Argentina,Bulgaria,1,0,H,Argentina,1962-05-30
1962,Group 3,Brazil,Mexico,2,0,H,Brazil,1962-05-30
1962,Group 2,Chile,Switzerland,3,1,H,Chile,1962-05-30
1962,Group 1,Colombia,Uruguay,1,2,A,Uruguay,1962-05-30
1962,Group 3,Czechoslovakia,Spain,1,0,H,Czechoslovakia,1962-05-31
1962,Group 4,England,Hungary,1,2,A,Hungary,1962-05-31
1962,Group 2,West Germany,Italy,0,0,D,Tied,1962-05-31
1962,Group 1,Soviet Union,Yugoslavia,2,0,H,Soviet Union,1962-05-31
1962,Group 4,Argentina,England,1,3,A,England,1962-06-02
1962,Group 3,Brazil,Czechoslovakia,0,0,D,Tied,1962-06-02
1962,Group 2,Chile,Italy,2,0,H,Chile,1962-06-02
1962,Group 1,Uruguay,Yugoslavia,1,3,A,Yugoslavia,1962-06-02
1962,Group 4,Bulgaria,Hungary,1,6,A,Hungary,1962-06-03
1962,Group 1,Colombia,Soviet Union,4,4,D,Tied,1962-06-03
1962,Group 2,West Germany,Switzerland,2,1,H,West Germany,1962-06-03
1962,Group 3,Mexico,Spain,0,1,A,Spain,1962-06-03
1962,Group 4,Argentina,Hungary,0,0,D,Tied,1962-06-06
1962,Group 3,Brazil,Spain,2,1,H,Brazil,1962-06-06
1962,Group 2,Chile,West Germany,0,2,A,West Germany,1962-06-06
1962,Group 1,Soviet Union,Uruguay,2,1,H,Soviet Union,1962-06-06
1962,Group 4,Bulgaria,England,0,0,D,Tied,1962-06-07
1962,Group 1,Colombia,Yugoslavia,0,5,A,Yugoslavia,1962-06-07
